2025-11-20 05:25:51 startup archives unpack
2025-11-20 05:25:51 install libssl3:amd64 <none> 3.0.17-1~deb12u3
2025-11-20 05:25:51 status triggers-pending libc-bin:amd64 2.36-9+deb12u9
2025-11-20 05:25:51 status half-installed libssl3:amd64 3.0.17-1~deb12u3
2025-11-20 05:25:52 status unpacked libssl3:amd64 3.0.17-1~deb12u3
2025-11-20 05:25:52 install libargon2-1:amd64 <none> 0~20171227-0.3+deb12u1
2025-11-20 05:25:52 status half-installed libargon2-1:amd64 0~20171227-0.3+deb12u1
2025-11-20 05:25:52 status unpacked libargon2-1:amd64 0~20171227-0.3+deb12u1
2025-11-20 05:25:52 upgrade libudev1:amd64 252.33-1~deb12u1 252.39-1~deb12u1
2025-11-20 05:25:52 status half-configured libudev1:amd64 252.33-1~deb12u1
2025-11-20 05:25:52 status unpacked libudev1:amd64 252.33-1~deb12u1
2025-11-20 05:25:52 status half-installed libudev1:amd64 252.33-1~deb12u1
2025-11-20 05:25:52 status unpacked libudev1:amd64 252.39-1~deb12u1
2025-11-20 05:25:52 startup packages configure
2025-11-20 05:25:52 configure libudev1:amd64 252.39-1~deb12u1 <none>
2025-11-20 05:25:52 status unpacked libudev1:amd64 252.39-1~deb12u1
2025-11-20 05:25:52 status half-configured libudev1:amd64 252.39-1~deb12u1
2025-11-20 05:25:52 status installed libudev1:amd64 252.39-1~deb12u1
2025-11-20 05:25:52 startup archives unpack
2025-11-20 05:25:52 install dmsetup:amd64 <none> 2:1.02.185-2
2025-11-20 05:25:52 status half-installed dmsetup:amd64 2:1.02.185-2
2025-11-20 05:25:52 status unpacked dmsetup:amd64 2:1.02.185-2
2025-11-20 05:25:52 install libdevmapper1.02.1:amd64 <none> 2:1.02.185-2
2025-11-20 05:25:52 status half-installed libdevmapper1.02.1:amd64 2:1.02.185-2
2025-11-20 05:25:52 status unpacked libdevmapper1.02.1:amd64 2:1.02.185-2
2025-11-20 05:25:52 install libjson-c5:amd64 <none> 0.16-2
2025-11-20 05:25:52 status half-installed libjson-c5:amd64 0.16-2
2025-11-20 05:25:52 status unpacked libjson-c5:amd64 0.16-2
